P_NAME,P_STATUS,P_MASS,P_RADIUS,P_YEAR,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ANGULAR_DISTANCE,P_DETECTION,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_METALLICITY,S_MASS,S_RADIUS,S_AGE,S_TEMPERATURE,S_LOG_G,S_ALT_NAMES,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TYPE,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
Kepler-767 b,3.0,,6.63632,2016,161.52801,,,Transit,Kepler-767,291.57917,38.035828,15435,1185.0,-0.05,0.96,0.94,4.07,5694.0,4.48,",",0.57248646,0.57248646,0.57248646,0.57248648,2.5391231,321.59986,Jovian,G,19.438613,19 26 19.0052,+38 02 08.9808,2.4630367,1.7323413,0.44591045,0,0,Hot,0,0.39423183,Lyra,Lyr,Lyre
Kepler-768 b,3.0,,1.7936,2016,11.391003,,,Transit,Kepler-768,294.11566,38.393485,15681,795.0,-0.03,0.82,0.78,4.57,5108.0,4.58,",",0.092716168,0.092716168,0.092716168,0.092716171,43.168848,653.0366,Superterran,K,19.607711,19 36 27.7611,+38 23 36.5460,1.6447673,0.60060535,0.43133578,0,0,Hot,0,0.29566024,Cygnus,Cyg,Swan
Kepler-769 b,3.0,,2.92581,2016,7.42609,,,Transit,Kepler-769,292.7131,38.358213,14818,1362.0,0.06,1.19,1.28,2.88,6186.0,4.3,",",0.078922109,0.078922109,0.078922109,0.078922111,345.10471,1098.0766,Neptunian,F,19.514208,19 30 51.1479,+38 21 29.5668,3.9585661,4.3332665,0.45217433,0,0,Hot,0,0.21606236,Cygnus,Cyg,Swan
Kepler-769 c,3.0,,1.7936,2016,15.987017,,,Transit,Kepler-769,292.7131,38.358213,14818,1362.0,0.06,1.19,1.28,2.88,6186.0,4.3,",",0.13158413,0.13158413,0.13158413,0.13158413,124.14843,850.41363,Superterran,F,19.514208,19 30 51.1479,+38 21 29.5668,3.9585661,4.3332665,0.45217433,0,0,Hot,0,0.2757785,Cygnus,Cyg,Swan
Kepler-77 b,3.0,136.66604,10.7616,2013,3.5787809,0.04501,79,Transit,Kepler-77,289.60796,44.345425,13938,570.0,0.2,0.95,0.99,7.5,5520.0,4.42,",",0.04501,0.04501,0.04501,0.045010001,402.43646,1141.0883,Jovian,G,19.307198,19 18 25.9131,+44 20 43.5300,2.4379312,1.2802449,0.49201263,0,0,Hot,0,0.08377536,Cygnus,Cyg,Swan
Kepler-770 b,3.0,,2.29805,2016,18.925403,,,Transit,Kepler-770,286.49043,38.374907,14604,761.0,-0.01,0.94,0.92,4.57,5598.0,4.49,",",0.13611801,0.13611801,0.13611801,0.13611802,40.194319,641.48437,Superterran,G,19.099363,19 05 57.7063,+38 22 29.6652,2.3300311,1.4586743,0.45142626,0,0,Hot,0,0.27193325,Lyra,Lyr,Lyre
Kepler-770 c,3.0,,1.19947,2016,1.4753223,,,Transit,Kepler-770,286.49043,38.374907,14604,761.0,-0.01,0.94,0.92,4.57,5598.0,4.49,",",0.024839533,0.024839533,0.024839533,0.024839534,1207.0048,1501.6619,Terran,G,19.099363,19 05 57.7063,+38 22 29.6652,2.3300311,1.4586743,0.45142626,0,0,Hot,0,0.29115723,Lyra,Lyr,Lyre
Kepler-770 d,3.0,,1.40125,2016,4.1524472,,,Transit,Kepler-770,286.49043,38.374907,14604,761.0,-0.01,0.94,0.92,4.57,5598.0,4.49,",",0.049517067,0.049517067,0.049517067,0.049517069,303.72885,1063.5708,Terran,G,19.099363,19 05 57.7063,+38 22 29.6652,2.3300311,1.4586743,0.45142626,0,0,Hot,0,0.2876661,Lyra,Lyr,Lyre
Kepler-771 b,3.0,,1.81602,2016,8.7348584,,,Transit,Kepler-771,287.44409,38.088431,14794,1000.0,0.01,1.03,1.05,3.72,5906.0,4.42,",",0.083809364,0.083809364,0.083809364,0.083809366,171.10233,921.42267,Superterran,G,19.16294,19 09 46.5852,+38 05 18.3516,2.9599493,2.5526961,0.44970502,0,0,Hot,0,0.27169231,Lyra,Lyr,Lyre
Kepler-772 b,3.0,,1.81602,2016,12.992073,,,Transit,Kepler-772,291.42358,38.216591,13974,689.0,0.03,0.98,1.11,8.13,5714.0,4.33,",",0.10740815,0.10740815,0.10740815,0.10740815,102.00491,809.65533,Superterran,G,19.42824,19 25 41.6636,+38 12 59.7276,2.9289472,1.8052641,0.50386627,0,0,Hot,0,0.27698028,Lyra,Lyr,Lyre
Kepler-773 b,3.0,,1.43488,2016,3.7491001,,,Transit,Kepler-773,290.88467,38.057567,13333,528.0,0.05,1.04,1.01,2.82,5850.0,4.45,",",0.047841562,0.047841562,0.047841562,0.047841563,467675,1184.7615,Terran,G,19.392312,19 23 32.3237,+38 03 27.2412,2.7934519,2.3260295,0.43080176,0,0,Hot,0,0.28467386,Lyra,Lyr,Lyre
Kepler-774 b,3.0,,3.17243,2016,11.089572,,,Transit,Kepler-774,291.03193,38.211956,12808,1190.0,0.04,1.57,2.42,2.14,6403.0,3.87,",",0.11308873,0.11308873,0.11308873,0.11308873,689.62781,1305.5653,Neptunian,F,19.40213,19 24 07.6668,+38 12 43.0416,8.0184507,6.8998645,0.47198372,0,0,Hot,0,0.20460497,Lyra,Lyr,Lyre
Kepler-775 b,3.0,,1.18826,2016,0.97486893,,,Transit,Kepler-775,291.4333,41.703438,13507,400.0,-0.04,0.92,0.84,1.86,5468.0,4.56,",",0.018709821,0.018709821,0.018709821,0.018709822,1614.4402,1614.9177,Terran,G,19.428887,19 25 43.9949,+41 42 12.3768,2.0297586,1.1583763,0.38583913,0,0,Hot,0,0.29115345,Lyra,Lyr,Lyre
Kepler-776 b,3.0,,1.27794,2016,4.8971878,,,Transit,Kepler-776,287.27264,41.635559,15456,727.0,0.05,0.83,0.78,4.37,5071.0,4.58,",",0.05302737,0.05302737,0.05302737,0.053027372,128.1894,857.25088,Terran,K,19.15151,19 09 05.4372,+41 38 08.0124,1.6210258,0.56589724,0.42986403,0,0,Hot,0,0.29851419,Lyra,Lyr,Lyre
Kepler-777 b,3.0,,1.46851,2016,5.728126,,,Transit,Kepler-777,282.72406,44.346478,15.95,383.0,-0.17,0.58,0.56,3.16,4043.0,4.71,",",0.052238888,0.052238888,0.052238888,0.052238889,27.510078,583.4691,Terran,K,18.848272,18 50 53.7777,+44 20 47.3208,0.73978174,0.085870689,0.36139489,0,0,Hot,0,0.32894046,Lyra,Lyr,Lyre
